Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Torbjørn,Moe,Haugvika 5,Kjellhelle,7586,Norge,NO,19630315-1988,+47,406 12 027,1963-03-15,True
Maria,Ali,Björkstigen 42,Kristianstad,86440,Sverige,SE,19971116-7961,+46,+46 (0)47 42 13 33,1997-11-16,True
Charles,Butler,Valerie Skyway 393,East Kathy,64463,Danmark,DK,19830704-9808,+45,001-641-547-5856x580,1983-07-04,True
Kim,Hansen,Nilsenhagen 32,Ingergrunn,0352,Norge,NO,19940103-7491,+47,77805741,1994-01-03,True
Charlott,Eklöf,Stationstorget 33,Gävle,83627,Sverige,SE,19990927-3884,+46,08-05 68 69,1999-09-27,True
Synnøve,Karlsen,Knutsenvollen 4,Alfmark,7457,Norge,NO,19860322-4829,+47,+47 26 77 89 64,1986-03-22,False
Tove,Danielsen,Antonsensvingen 2H,Sondrestrøm,9719,Norge,NO,19741103-4533,+47,49317194,1974-11-03,True
Sivert,Sköld,Skolgatan 384,Umeå,96887,Sverigek,SE,19620710-9853,+46,073-272 79 44,1962-07-10,True
Josef,Levin,Ekvägen 1,Östersund,27619,Sverige,SE,19740203-6097,+47,08-408 663 40,1974-02-03,True
Anita,Persson,Skolvägen 78,Trelleborg,50797,Sverige,SE,19631023-7326,+46,+46 (0)8 723 737 73,1963-10-23,True
Keith,Randolph,Green Lane 30300,Jessicaville,96364,Danmark,DK,19580619-9471,+45,573-543-4849x78817,1958-06-19,True
Martina,Sundberg,Trädgårdsstigen 8,Landskrona,80807,Sverige,SE,19420728-5038,+46,08-801 36 26,1942-07-28,True
Carl,Ortega,Lisa Trail 87430,Lake Jasonhaven,53305,Danmark,DK,20000513-7703,+45,487.942.8355,2000-05-13,True
John,Hebert,Thompson Hills 19819,Lake Ethanton,58615,Danmark,DK,19870402-2104,+45,923.854.7087x184,1987-04-02,True
Karin,Engen,Moenhaugen 488,Annastrand,6266,Norge,NO,19810227-4481,+47,67563128,1981-02-27,True
Mattias,Hedström,Kyrkostigen 5,Uddevalla,21729,Sverige,SE,19750326-7684,+46,0640-04 86 45,1975-03-26,True
Charlotte,Eriksson,Backvägen 3,Lidköping,25877,Sverige,SE,19550605-7902,+46,062-910 64 34,1955-06-05,True
Ragnar,Bengtsson,Trädgårdsgatan 954,Alingsås,40428,Sverige,SE,19900427-6423,+46,+46 (0)8 203 426 64,1990-04-27,True
Monica,Grönlund,Kyrkgränd 5,Trollhättan,14805,Sverige,SE,19680618-5859,+46,0467-806 36,1968-06-18,True
Sigurd,Sandvik,Strandplassen 652,Elinås,4708,Norge,NO,19801218-0264,+47,94814684,1980-12-18,True
Åse,Vik,Kristiansenhøgda 3F,Ali,9563,Norge,NO,19731103-0348,+47,+4794404183,1973-11-03,True
Gunvor,Åkerman,Industristigen 053,Malmö,87074,Sverige,SE,19851210-3973,+46,+46 (0)15 87 00 13,1985-12-10,True
Richard,Mills,Smith Views 607,Charlesside,72237,Danmark,DK,19860510-9482,+45,(659)465-0175,1986-05-10,False
Sissel,Jenssen,Halvorsenekra 6,Engen,2423,Norge,NO,19750305-8547,+47,95482399,1975-03-05,True
Kristina,Olsson,Backtorget 60,Lidingö,32288,Sverige,SE,19941110-4482,+46,08-50 56 54,1994-11-10,True
Per,Fors,Grangatan 149,Östersund,71211,Sverige,SE,19610213-2303,+46,08-282 01 85,1961-02-13,True
Elisabeth,Rasmussen,Åkerstigen 47,Östersund,53118,Sverige,SE,19930802-3008,+46,0795-101 47,1993-08-02,True
Julia,Sandberg,Björkvägen 164,Kalmar,64137,Sverige,SE,19830611-1750,+46,+46 (0)8 396 965 39,1983-06-11,True
Justin,Moore,Benjamin Shores 0716,Michaelview,54876,Danmark,DK,19860414-1950,+45,491-637-3289x43395,1986-04-14,True
Øystein,Halvorsen,Hagenåsen 4,Danielsen,0336,Norge,NO,19720227-5536,+47,77917152,1972-02-27,True
Kent,Lundell,Industritorget 56,Sandviken,16127,Sverige,SE,19750725-9868,+46,+46 (0)989 459 95,1975-07-25,True
Pirkko,Väisänen,Tukkisillankuja 179,Jämijärvi,90136,Finland,FI,19430623-8246,+358,(+358) 971978460,1943-06-23,True
Björn,Jönsson,Fabriksgatan 26,Malmö,11794,Sverige,SE,19840705-1111,+46,0304-177 29,1984-07-05,True
Katarina,Gustafsson,Asptorget 3,Piteå,59376,Sverige,SE,19701012-1372,+46,+46 (0)69 58 15 50,1970-10-12,True
Erica,Lindahl,Kvarntorget 09,Landskrona,64225,Sverige,SE,19930707-0180,+46,0490-916 48,1993-07-07,True
Meghan,Scott,Kevin Course 09590,South Mitchellberg,25497,Danmark,DK,19821220-6161,+45,001-443-757-7411x1669,1982-12-20,True
Tuomas,Perälä,Rukoushuoneenkuja 0,Harjavalta,72529,Finland,FI,19420618-660E,+358,+358992293089,1942-06-18,True
Pirkko,Lahti,Harakkamyllynpolku 8,Suomussalmi,04318,Finland,FI,19850102-8484,+358,0884561642,1985-01-02,True
Anders,Roos,Skoltorget 83,Lidköping,89982,Sverige,SE,19410629-3539,+46,08-46 66 53,1941-06-29,True
Bjørn,Strand,Nguyenmyra 9A,Amundsen,6775,Norge,NO,19550909-8507,+47,+4781939831,1955-09-09,True
Anita,Moe,Jenssenberget 5,Sigurdodden,5423,Norge,NO,19991222-7661,+47,908 38 574,1999-12-22,True
Jessica,Andersson,Ringgatan 55,Karlskrona,35316,Sverige,SE,19870609-7273,+46,0441-36 03 40,1987-06-09,True
Elise,Andresen,Martinsenløkka 13D,Berge,3233,Norge,NO,19580902-1892,+47,40056051,1958-09-02,True
John,Olsson,Storgatan 6,Örebro,62328,Sverige,SE,19960618-5051,+46,084-42 75 69,1996-06-18,True
Line,Bakke,Halvorsenflata 135,Helland,4284,Norge,NO,19570713-3155,+47,68 49 82 60,1957-07-13,True
Riikka,Saarinen,Lentokapteenin tie 182,Lieto,20085,Finland,FI,19430622-2066,+358,083 148 8337,1943-06-22,True
Carl,Nord,Skolgatan 8,Nyköping,41067,Sverige,SE,19470325-5776,+46,0675-22 43 17,1947-03-25,True
Eva,Björkman,Industrigatan 572,Växjö,81612,Sverige,SE,19911225-7508,+46,+46 (0)8 551 440 55,1991-12-25,True
Erik,Ali,Asptorget 365,Sandviken,34721,Sverige,SE,19480603-5897,+46,08-37 25 00,1948-06-03,True
Kåre,Berge,Hellandbråten 57B,Moen,3365,Norge,NO,19960831-6735,+47,93178849,1996-08-31,True
Marie,Nyström,Kyrkogatan 141,Malmö,75214,Sverige,SE,19431028-9053,+46,005-929 45 73,1943-10-28,True
Bella,Persson,Genvägen 88,Malmö,20381,Sverige,SE,19980906-3329,+46,08-179 210 88,1998-09-06,True
Gunnel,Sandberg,Idrottsgatan 5,Skövde,95775,Sverige,SE,19441224-4245,+46,08-84 53 28,1944-12-24,True
Sofie,Lie,Hanssenringen 73,Gundersen,3729,Norge,NO,19790525-5851,+47,+47 04 97 97 81,1979-05-25,True
Amanda,Eriksson,Skoltorget 5,Norrköping,22655,Sverige,SE,19711017-8487,+46,+46 (0)8 171 883 50,1971-10-17,True
Ruth,Johansson,Fabriksvägen 992,Växjö,50603,Sverige,SE,19901020-1825,+46,+46 (0)35 66 84 56,1990-10-20,True
Marte,Thorsen,Isaksenengen 43F,Gulbrandsen,3354,Norge,NO,19870619-8294,+47,46525946,1987-06-19,True
Lea,Arvidsson,Aspgatan 13,Lidköping,56288,Sverige,SE,19480911-2305,+46,+46 (0)8 477 016 14,1948-09-11,True
William,Åberg,Strandtorget 0,Uddevalla,13814,Sverige,SE,19750619-2155,+46,0626-81 43 73,1975-06-19,True
Michelle,Garza,Aaron Crossing 5737,Bryanbury,36483,Danmark,DK,19601227-5273,+45,(693)838-3360,1960-12-27,True
Sindre,Bøe,Andersenalléen 36H,Irenestrand,5805,Norge,NO,19910806-9114,+47,94960508,1991-08-06,True
Kyle,Watts,Leonard Fall 504,Ryanville,55474,Danmark,DK,19510124-0294,+45,(923)867-6772x617,1951-01-24,True
Erik,Bergström,Skolgatan 145,Karlskrona,71385,Sverige,SE,19830714-2472,+46,+46 (0)55 43 92 33,1983-07-14,True
Ragnar,Karlsson,Åkerstigen 1,Trelleborg,83532,Sverige,SE,19920225-8528,+46,0627-47 21 37,1992-02-25,True
Christer,Thorén,Kyrktorget 1,Lidköping,40235,Sverige,SE,19530623-8131,+46,+46 (0)54 79 61 06,1953-06-23,True
Sabrina,Clark,Graves Island 19348,Lucasshire,42517,Danmark,DK,19940124-4818,+45,544.448.5645,1994-01-24,True
Ann,Nilsen,Ødegårdlunden 2,Ali,4753,Norge,NO,19951005-0120,+47,922 95 013,1995-10-05,True
Carl,Broman,Strandtorget 370,Trollhättan,33953,Sverige,SE,19800727-4565,+46,+46 (0)8 405 655 68,1980-07-27,True
Emilie,Antonsen,Holmfaret 1,Berithavn,4885,Norge,NO,19570317-5561,+47,99 90 28 03,1957-03-17,True
Magnus,Johansson,Björkgatan 999,Trollhättan,87251,Sverige,SE,19710511-6323,+46,08-724 71 74,1971-05-11,True
Katie,Martin,Karina Mission 19370,South Saraburgh,43375,Danmark,DK,19450103-9136,+45,4752974013,1945-01-03,True
Abdul,Wikström,Åkervägen 412,Jönköping,74569,Sverige,SE,19960209-6674,+46,08-922 08 06,1996-02-09,True
Edgar,Kristensson,Skolvägen 088,Jönköping,98335,Sverige,SE,19510428-1300,+46,08-645 832 53,1951-04-28,True
Martin,Åberg,Fabriksgränd 674,Örnsköldsvik,26092,Sverige,SE,19731117-9298,+46,040-764 47 91,1973-11-17,True
Ellen,Manning,Sparks Rapids 5697,New Michaelchester,50860,Danmark,DK,19510129-8237,+45,001-404-585-6604x754,1951-01-29,True
Jon,Evensen,Jensentjernet 247,Edvardsen,7780,Norge,NO,19411106-8885,+47,90141221,1941-11-06,True
Lars,Andersson,Skolgränd 1,Landskrona,63617,Sverige,SE,19810802-4387,+46,+46 (0)8 873 482 13,1981-08-02,True
Matilda,Westerberg,Åkergatan 772,Västerås,58650,Sverige,SE,19990320-7223,+46,+46 (0)74 86 10 31,1999-03-20,True
Debra,Kelly,Campbell Avenue 77311,West Michaelville,27661,Danmark,DK,19911201-4386,+45,+1-742-245-4392x26875,1991-12-01,True
Anna,Sullivan,Thompson Street 0036,West Katherinemouth,74575,Danmark,DK,19750509-0162,+45,2052651991,1975-05-09,True
Kjersti,Vik,Hagengjerdet 1,Oleås,6029,Norge,NO,19991204-6380,+47,24398963,1999-12-04,True
Otto,Heikkinen,Usvatie 448,Ulvila,01427,Finland,FI,19670117-089T,+358,(+358) 519152021,1967-01-17,True
Jouko,Pulkkinen,Elimäenkatu 38,Lempäälä,50712,Finland,FI,19911112-229V,+358,0515593844,1991-11-12,True
Eivind,Martinsen,Engenløkka 1,Pedersen,0363,Norge,NO,19560809-1451,+47,463 35 913,1956-08-09,True
Dennis,Sims,Flynn Groves 950,Colleenberg,62954,Danmark,DK,19460812-4634,+45,(424)450-1665x02072,1946-08-12,True
Gunnar,Möller,Fabrikstorget 3,Falun,17182,Sverige,SE,19710611-9522,+46,08-13 57 78,1971-06-11,True
Kelly,Freeman,Angela Forest 216,Shawnmouth,40993,Danmark,DK,19831114-9752,+45,+1-200-499-2239x227,1983-11-14,True
Melissa,Sosa,Jodi Harbors 53111,Benjaminberg,59857,Danmark,DK,19951107-6483,+45,001-949-970-6895x16724,1995-11-07,True
Tobias,Sørensen,Nygårdberget 4,Torbjørnmark,6339,Norge,NO,19560617-7234,+47,90231315,1956-06-17,True
Tonje,Hansen,Berntsenberget 93,Andreassen,2307,Norge,NO,19580331-3059,+47,66 30 58 48,1958-03-31,True
Ole,Mikkelsen,Næssalléen 36,Torfjord,8895,Norge,NO,19830504-5162,+47,92627692,1983-05-04,True
Dag,Ellingsen,Christensenroa 757,Myklebust,5697,Norge,NO,19570430-1131,+47,40272825,1957-04-30,True
Magnus,Solheim,Jensenstykket 2,Danielstrand,0051,Norge,NO,19881027-8563,+47,91033671,1988-10-27,True
Vegard,Paulsen,Næsskollen 7,Hanssen,1883,Norge,NO,19940728-1918,+47,49208460,1994-07-28,True
Oscar,Persson,Kyrkgränd 713,Falun,77012,Sverige,SE,19500504-1497,+46,08-865 028 43,1950-05-04,True
Laura,King,Timothy Square 0529,Brianmouth,01359,Danmark,DK,19540908-0605,+45,491-263-6302,1954-09-08,True
Erik,Gren,Ringvägen 02,Helsingborg,98555,Sverige,SE,19980705-9130,+46,017-94 62 63,1998-07-05,True
Crystal,Garza,Swanson Prairie 459,West Karen,56475,Danmark,DK,19401101-1683,+45,676.305.2135,1940-11-01,True
Mikael,Karlsson,Aspgatan 600,Lidköping,89290,Sverige,SE,19960816-4185,+46,+46 (0)8 880 924 71,1996-08-16,True
Joseph,Snyder,Ruiz Crossing 05339,North Jason,73387,Danmark,DK,19541002-5738,+45,884-893-6203,1954-10-02,True
Christina,Shaw,Amanda Springs 72266,Port Juliestad,64252,Danmark,DK,19471031-0879,+45,293-914-3255,1947-10-31,True
Michael,Miller,Obrien Trail 6097,New Erinport,01259,Danmark,DK,19540413-9106,+45,001-340-632-1065x84414,1954-04-13,True
Tapani,Leskinen,Uussillanbulevardi 885,Hirvensalmi,47627,Finland,FI,19590111-382E,+358,0500740651,1959-01-11,True
Jonas,Larsson,Fabriksvägen 7,Lund,69248,Sverige,SE,19590915-7169,+46,08-459 29 54,1959-09-15,True
Solveig,Karlsson,Trädgårdstorget 082,Östersund,67471,Sverige,SE,19951111-6920,+46,+46 (0)8 016 388 87,1995-11-11,True
Jennifer,Smith,Miller Wells 2678,Joanneshire,65534,Danmark,DK,19771030-2323,+45,878.227.6335x55262,1977-10-30,True
Sonja,Mattsson,Ringgatan 4,Lund,20812,Sverige,SE,19970704-7926,+46,+46 (0)8 119 293 48,1997-07-04,True
Hans,Sjöberg,Kyrkogatan 718,Landskrona,31211,Sverige,SE,19630629-8586,+46,+46 (0)802 173 22,1963-06-29,True
Fredrik,Strøm,Rønninglyngen 8,Perøy,7272,Norge,NO,19680425-7453,+47,25427672,1968-04-25,True
Juhani,Riihimäki,Saanatunturintie 58,Sottunga,27367,Finland,FI,19430418-095D,+358,+358 02 5474474,1943-04-18,True
Lars,Rasmussen,Iversenbråten 060,Sigridgrunn,7484,Norge,NO,19591211-6593,+47,+47 34 40 02 77,1959-12-11,True
Unni,Martinsen,Brekkemarka 7,Fredriksen,2647,Norge,NO,19480908-5618,+47,939 25 160,1948-09-08,True
Lene,Thomassen,Andersenhavna 3,Tveit,2334,Norge,NO,19541112-7840,+47,+4757308530,1954-11-12,True
Oskar,Nilsson,Skogsgatan 4,Uddevalla,71430,Sverige,SE,19790709-4341,+46,+46 (0)712 402 69,1979-07-09,True
Ossi,Mononen,Orapihlajatie 622,Ii,11047,Finland,FI,19720504-491V,+358,0166082986,1972-05-04,False
Bertil,Larsson,Fabriksgatan 98,Falun,16840,Sverige,SE,19550628-6150,+46,08-611 88 04,1955-06-28,True
Maria,Johansen,Parkstigen 3,Karlskoga,59101,Sverige,SE,19520826-7778,+46,+46 (0)8 780 537 59,1952-08-26,True
Charles,Schmitt,Leach Corner 2963,Clarkefort,06790,Danmark,DK,19540721-0925,+45,5309167944,1954-07-21,True
Janne,Amundsen,Sætherengen 6C,Thorsen,1973,Norge,NO,19581226-2799,+47,42 15 78 98,1958-12-26,True
James,Villegas,Price Creek 6816,Moralesberg,38976,Danmark,DK,19910922-7339,+45,283-214-8033x12247,1991-09-22,True
Karl,Samuelsson,Ringvägen 331,Borås,32573,Sverige,SE,19540926-7032,+46,0882-409 46,1954-09-26,True
Gerd,Bäckström,Aspgränd 512,Uddevalla,24816,Sverige,SE,19830830-9761,+46,08-53 45 32,1983-08-30,True
Brian,Kennedy,Wesley Shoals 7475,Phillipsburgh,51367,Danmark,DK,19550524-6953,+45,638.760.6149,1955-05-24,True
Ingeborg,Jørgensen,Solbergmyra 8A,Holm,1964,Norge,NO,19670321-9052,+47,59 85 81 78,1967-03-21,True
Stein,Bøe,Tangensvingen 70,Camillaborg,5188,Norge,NO,19460428-3086,+47,53148010,1946-04-28,True
Chelsea,Sampson,Lisa Glen 023,Port Timville,93801,Danmark,DK,19510108-3664,+45,564-964-6137x13322,1951-01-08,True
Leevi,Niemelä,Ilkankuja 62,Sievi,97710,Finland,FI,19421003-2083,+358,+358 15 2948626,1942-10-03,True
Jarno,Karlsson,Tuomarinkylänkuja 710,Espoo,85776,Finland,FI,19491202-742K,+358,+358195678241,1949-12-02,True
Nina,Ruud,Eriksenberget 2C,Gunnareid,2085,Norge,NO,19700717-7540,+47,+4733485464,1970-07-17,False
Ola,Lie,Moekollen 9,Alexandervik,8811,Norge,NO,19540519-7084,+47,+4722285780,1954-05-19,True
Roar,Moe,Nygårdstranda 4C,Mathisen,8441,Norge,NO,19850827-7843,+47,953 42 223,1985-08-27,True
Sverre,Kristiansen,Berntsentjernet 6,Moe,3187,Norge,NO,19560203-1384,+47,+4756453490,1956-02-03,True
Jesse,James,Charles Union 0997,Johnsonhaven,82115,Danmark,DK,19480403-4351,+45,001-809-457-3377x117,1948-04-03,True
Roger,Lind,Bäcktorget 278,Växjö,58402,Sverige,SE,19540421-5126,+46,+46 (0)8 794 777 33,1954-04-21,True
Emilie,Iversen,Kristiansenbakken 348,Haugen,9506,Norge,NO,19660218-1469,+47,08 07 55 31,1966-02-18,True
Rita,Jensen,Hellandkollen 1,Vildestrand,3652,Norge,NO,19620617-7328,+47,+47 69 23 16 66,1962-06-17,True
Ove,Fransson,Strandvägen 968,Uppsala,17155,Sverige,SE,19880517-5732,+46,08-097 892 96,1988-05-17,True
Stig,Haug,Kristensenberget 703,Gulbrandsen,1610,Norge,NO,19630724-5123,+47,423 36 240,1963-07-24,True
Mark,Gross,Heather Plain 86299,Ashleymouth,27782,Danmark,DK,19840929-7543,+45,264.423.6048x869,1984-09-29,True
Finn,Knudsen,Mathisenbakken 58,Strand,5537,Norge,NO,19740909-3147,+47,25420321,1974-09-09,True
Kenneth,Lund,Danielsenskogen 67,Lie,5892,Norge,NO,19511204-0006,+47,95290188,1951-12-04,True
Marianne,Bergqvist,Strandgränd 970,Uddevalla,74070,Sverige,SE,19950913-4790,+46,08-081 74 12,1995-09-13,True
Sven,Lilja,Kvarntorget 85,Kristianstad,43379,Sverige,SE,19561021-6614,+46,099-744 92 93,1956-10-21,True
Anna,Petersson,Ekstigen 5,Karlskoga,42683,Sverige,SE,19801128-9733,+46,08-812 238 36,1980-11-28,True
Eva,Ekman,Idrottstorget 8,Mölndal,39494,Sverige,SE,19541130-8263,46,08-746 863 25,1954-11-30,True
Valerie,Morales,Benjamin Loaf 01431,South Leroymouth,82701,Danmark,DK,19550509-8684,+45,665.908.0346x41665,1955-05-09,True
Heidi,Antonsen,Kristensenhagen 64B,Brekke,6624,Norge,NO,19850312-4281,+47,988 34 338,1985-03-12,True
Edward,Powell,John Turnpike 720,Johnsonstad,74226,Danmark,DK,19721215-8667,+45,(332)442-1401,1972-12-15,True
Fredrik,Mustafa,Industritorget 95,Kristianstad,79748,Sverige,SE,19740112-0233,+46,08-318 81 82,1974-01-12,True
Daniel,Lindkvist,Grantorget 728,Västerås,86350,Sverige,SE,19981030-8737,+46,083-791 52 78,1998-10-30,True
Nils,Fredriksson,Ängsgatan 664,Östersund,15760,Sverige,SE,19881202-9845,+46,08-84 43 05,1988-12-02,True
Pauliina,Mäkelä,Bergankatu 7,Simo,72813,Finland,FI,19891027-649J,+358,+358 75 5645550,1989-10-27,True
Leah,Gillespie,Amanda Prairie 43996,New Lisachester,86373,Danmark,DK,19670315-0970,+45,+1-241-885-6856,1967-03-15,True
Isabelle,Lindqvist,Aspvägen 80,Luleå,74750,Sverige,SE,19940118-6410,+46,+46 (0)395 621 76,1994-01-18,True
Egil,Larsen,Knudsenlyngen 361,Christianvær,1770,Norge,NO,19570812-6799,+47,404 51 538,1957-08-12,True
Per-Erik,Nyberg,Kvarnvägen 60,Lidingö,59322,Sverige,SE,19750803-8816,+46,0439-236 67,1975-08-03,True
Eli,Lie,Andresenspranget 83E,Birkeland,9992,Norge,NO,19940903-6278,+47,920 13 238,1994-09-03,True
Roland,Johansson,Ringgatan 81,Södertälje,68118,Sverige,SE,19421121-5816,+46,08-345 225 32,1942-11-21,True
Martin,Johansson,Bäckstigen 635,Borlänge,40599,Sverige,SE,19631030-6526,+46,+46 (0)8 915 460 88,1963-10-30,True
Marie,Haug,Evensenskogen 6,Tangen,4300,Norge,NO,19770807-7414,+47,40777763,1977-08-07,True
Camilla,Bakken,Alihagen 4,Elsehavn,2554,Norge,NO,19440929-7504,+47,+4798025300,1944-09-29,True
Brandon,Graves,Tanya Mill 1202,Annafort,50094,Danmark,DK,19410225-7138,+45,001-830-648-2997x407,1941-02-25,True
Mona,Simonsen,Kristofferseneggen 4,Pedersen,9292,Norge,NO,19440617-7684,+47,947 26 560,1944-06-17,True
Edvard,Persson,Genvägen 93,Karlskoga,50387,Sverige,SE,19590924-6597,+46,012-044 92 66,1959-09-24,True
Thor,Abrahamsen,Iversenrøa 2,Noraberg,6518,Norge,NO,19590618-4186,+47,92 20 66 24,1959-06-18,True
Eeva,Mustonen,Urkurinkuja 668,Värdö,73837,Finland,FI,19940713-0112,+358,0594835354,1994-07-13,True
Magne,Eriksen,Hagengata 9,Lailaås,5822,Norge,NO,19671216-1287,+47,72 39 66 68,1967-12-16,True
Charlie,Eriksson,Åkergatan 404,Östersund,27906,Sverige,SE,19520523-5303,+46,+46 (0)8 923 351 12,1952-05-23,True
Silje,Nilsen,Sandviktunet 2,Sebastianstrøm,5657,Norge,NO,19670521-6737,+47,912 27 180,1967-05-21,True
Åke,Johansson,Strandvägen 653,Göteborg,54665,Sverige,SE,19750323-4928,+46,034-822 00 97,1975-03-23,True
Lukas,Forsberg,Bäckgatan 400,Motala,48394,Sverige,SE,19920519-3519,+46,+46 (0)8 206 299 35,1992-05-19,True
Tony,Eriksson,Villagatan 825,Gävle,97588,Sverige,SE,19881107-8175,+46,038-672 96 56,1988-11-07,True
Alfred,Forsberg,Industrigatan 58,Norrköping,78036,Sverige,SE,19840707-0375,+46,070-88 92 05,1984-07-07,True
Katarina,Söderlund,Gengränd 05,Lidköping,72374,Sverige,SE,19750716-3817,+46,08-961 46 62,1975-07-16,True
Øyvind,Berg,Ellingsenmyra 906,Gunneid,3245,aorge,NO,19951231-5562,+47,63338569,1995-12-31,True
Karl,Olsen,Vikhagen 8,Næss,5120,Norge,NO,19770123-1681,+47,937 03 189,1977-01-23,True
Camilla,Nordgren,Skolgatan 89,Borlänge,77130,Sverige,SE,19990124-6507,+46,044-402 96 88,1999-01-24,True
Kim,Haglund,Ängsstigen 398,Kalmar,57833,Sverige,SE,19660714-3052,+46,08-280 355 35,1966-07-14,True
Jonathan,Johansson,Stationsvägen 665,Örebro,32510,Sverige,SE,19900926-1440,+46,08-711 83 77,1990-09-26,True
Michael,Martin,Corey Glens 820,West Amyport,25226,Danmark,DK,19910211-8917,+45,(963)364-4242,1991-02-11,True
Viktor,Ottosson,Stationstorget 1,Uddevalla,77385,Sverige,SE,19650223-3152,+46,08-774 663 43,1965-02-23,True
Cesar,Howell,Robert Parkways 37680,Greentown,69289,Danmark,DK,19891012-4829,+45,710.568.2801x67991,1989-10-12,True
Joseph,Freeman,William Valley 52300,Moorebury,43947,Danmark,DK,19561213-3370,+45,662-392-4308x940,1956-12-13,True
Adrian,Knudsen,Andresengata 5,Stigstrand,4410,Norge,NO,19830226-3611,+47,91364146,1983-02-26,True
Einar,Andersen,Jørgensenlyngen 40,Haug,9138,Norge,NO,19691022-4591,+47,85730915,1969-10-22,True
Maria,Thomassen,Larsenfaret 07C,Arildhelle,5199,Norge,NO,19840320-2085,+47,91952177,1984-03-20,True
Anders,Mathisen,Rasmussenhavna 95C,Stighavn,5854,Norge,NO,19950422-6282,+47,+4787755396,1995-04-22,True
Erling,Bergström,Fabriksgatan 07,Uddevalla,10335,Sverige,SE,19850706-7543,+46,032-01 16 37,1985-07-06,True
Ola,Ali,Åkerstigen 56,Varberg,70248,Sverige,SE,19680106-5328,+46,08-22 65 33,1968-01-06,True
